persona_id,persona_name,recommender,relevant_count,p_at_5,p_at_10,r_at_5,r_at_10,ndcg_at_5,ndcg_at_10
P1,"History buff",content,142,1.0000,1.0000,0.0352,0.0704,1.0000,1.0000
P1,"History buff",popularity,142,1.0000,1.0000,0.0352,0.0704,1.0000,1.0000
P1,"History buff",random,142,0.4000,0.3000,0.0141,0.0211,0.3008,0.2646
P2,"Foodie",content,8,0.2000,0.1000,0.1250,0.1250,0.2140,0.1596
P2,"Foodie",popularity,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P2,"Foodie",random,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P3,"Nature and views",content,13,1.0000,0.9000,0.3846,0.6923,1.0000,0.9364
P3,"Nature and views",popularity,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P3,"Nature and views",random,13,0.0000,0.1000,0.0000,0.0769,0.0000,0.0694
P4,"Sampler",content,151,1.0000,1.0000,0.0331,0.0662,1.0000,1.0000
P4,"Sampler",popularity,151,1.0000,1.0000,0.0331,0.0662,1.0000,1.0000
P4,"Sampler",random,151,0.4000,0.3000,0.0132,0.0199,0.3008,0.2646
P5,"Time-crunched",content,134,1.0000,1.0000,0.0373,0.0746,1.0000,1.0000
P5,"Time-crunched",popularity,134,1.0000,1.0000,0.0373,0.0746,1.0000,1.0000
P5,"Time-crunched",random,134,0.4000,0.3000,0.0149,0.0224,0.3008,0.2646
P6,"Budget mixed",content,149,1.0000,1.0000,0.0336,0.0671,1.0000,1.0000
P6,"Budget mixed",popularity,149,1.0000,1.0000,0.0336,0.0671,1.0000,1.0000
P6,"Budget mixed",random,149,0.4000,0.3000,0.0134,0.0201,0.3008,0.2646
