scenario_id,persona_id,weather,disruption,mode,recommender,generation_feasible,total_travel_time_min,interest_precision,interest_recall,interest_group_coverage,outdoor_stop_count,generation_response_ms,stop_count,disruption_effect,post_adapt_feasible,plan_change_ratio,reopt_response_ms,reoptimized
P1-clear-none-adaptive,P1,clear,none,adaptive,content,true,41.0,1.0000,1.0000,1.0000,3,3873.4,8,,,,,
P1-clear-none-static,P1,clear,none,static,content,true,41.0,1.0000,1.0000,1.0000,3,3521.6,8,,,,,
P1-clear-moderate-adaptive,P1,clear,moderate,adaptive,content,true,40.0,1.0000,1.0000,1.0000,3,3294.0,8,no_effect,,,,
P1-clear-moderate-static,P1,clear,moderate,static,content,true,40.0,1.0000,1.0000,1.0000,3,3459.0,8,no_effect,,,,
P1-clear-heavy-adaptive,P1,clear,heavy,adaptive,content,true,40.0,1.0000,1.0000,1.0000,3,3182.4,8,no_effect,,,,
P1-clear-heavy-static,P1,clear,heavy,static,content,true,40.0,1.0000,1.0000,1.0000,3,3315.8,8,no_effect,,,,
P1-clear-blocked-adaptive,P1,clear,blocked,adaptive,content,true,40.0,1.0000,1.0000,1.0000,3,1687.2,8,no_effect,,,,
P1-clear-blocked-static,P1,clear,blocked,static,content,true,40.0,1.0000,1.0000,1.0000,3,3496.6,8,no_effect,,,,
P1-rain-none-adaptive,P1,rain,none,adaptive,content,true,47.0,1.0000,1.0000,1.0000,1,3429.2,7,,,,,
P1-rain-none-static,P1,rain,none,static,content,true,40.0,1.0000,1.0000,1.0000,3,3190.4,8,,,,,
P1-rain-moderate-adaptive,P1,rain,moderate,adaptive,content,true,47.0,1.0000,1.0000,1.0000,1,2877.6,7,no_effect,,,,
P1-rain-moderate-static,P1,rain,moderate,static,content,true,40.0,1.0000,1.0000,1.0000,3,2976.8,8,no_effect,,,,
P1-rain-heavy-adaptive,P1,rain,heavy,adaptive,content,true,47.0,1.0000,1.0000,1.0000,1,3138.8,7,no_effect,,,,
P1-rain-heavy-static,P1,rain,heavy,static,content,true,40.0,1.0000,1.0000,1.0000,3,3024.2,8,no_effect,,,,
P1-rain-blocked-adaptive,P1,rain,blocked,adaptive,content,true,47.0,1.0000,1.0000,1.0000,1,3010.2,7,no_effect,,,,
P1-rain-blocked-static,P1,rain,blocked,static,content,true,40.0,1.0000,1.0000,1.0000,3,2196.0,8,no_effect,,,,
P2-clear-none-adaptive,P2,clear,none,adaptive,content,true,15.0,1.0000,1.0000,1.0000,0,1745.8,4,,,,,
P2-clear-none-static,P2,clear,none,static,content,true,15.0,1.0000,1.0000,1.0000,0,2169.2,4,,,,,
P2-clear-moderate-adaptive,P2,clear,moderate,adaptive,content,true,15.0,1.0000,1.0000,1.0000,0,2556.6,4,no_effect,,,,
P2-clear-moderate-static,P2,clear,moderate,static,content,true,15.0,1.0000,1.0000,1.0000,0,2398.2,4,no_effect,,,,
P2-clear-heavy-adaptive,P2,clear,heavy,adaptive,content,true,15.0,1.0000,1.0000,1.0000,0,2108.8,4,no_effect,,,,
P2-clear-heavy-static,P2,clear,heavy,static,content,true,15.0,1.0000,1.0000,1.0000,0,1963.4,4,no_effect,,,,
P2-clear-blocked-adaptive,P2,clear,blocked,adaptive,content,true,15.0,1.0000,1.0000,1.0000,0,1716.8,4,no_effect,,,,
P2-clear-blocked-static,P2,clear,blocked,static,content,true,15.0,1.0000,1.0000,1.0000,0,1875.8,4,no_effect,,,,
P2-rain-none-adaptive,P2,rain,none,adaptive,content,true,33.0,1.0000,0.5000,1.0000,0,1843.0,3,,,,,
P2-rain-none-static,P2,rain,none,static,content,true,15.0,1.0000,1.0000,1.0000,0,1876.6,4,,,,,
